Date,FR10_TA,FRB0_TA,FRC1_TA,FRC2_TA,FRF2_TA,FRF3_TA,FRG0_TA,FRH0_TA,FRI1_TA,FRI2_TA,FRI3_TA,FRJ2_TA,FRK1_TA,FRK2_TA
2020-12-21,279.40325456944447,279.7527934305555,278.1619704305556,276.5580588750001,278.13326148611117,277.2699842777777,280.70235894444437,281.6538778333333,281.51855333333333,279.0409778472223,280.6950908194444,279.7608670972223,277.5866725833332,275.977387888889
2020-12-22,279.2930668194445,279.66178322222214,278.0269466805556,276.3726201111112,277.99778791666665,277.10938263888886,280.60904437499994,281.5288887222222,281.4337250138889,278.96539654166673,280.59945066666666,279.6355219583334,277.4872379583332,275.7987656944445
2020-12-23,279.1689528888889,279.5355764305555,277.8993004027778,276.22093926388897,277.8589409305556,276.9654400972222,280.4812779166666,281.4154422083333,281.2831805,278.83006087500013,280.4794067777777,279.46721862500004,277.3492684444443,275.69380294444454
2020-12-24,279.0600089166667,279.4401396666666,277.85107443055557,276.1830096527779,277.7959309305556,276.9346704722222,280.39964077777773,281.3535295833333,281.20987127777784,278.7947499861112,280.41701536111105,279.3826272638889,277.3016798749999,275.6297713750001
2020-12-25,279.0122401388889,279.4285670833333,277.86319487500003,276.22511362500006,277.77785987500005,276.9111598333333,280.34235466666667,281.25994012499996,281.1807930416666,278.78277466666674,280.41866461111107,279.3138358888889,277.3265387638887,275.61085568055563
2020-12-26,278.9117266111111,279.30159904166663,277.79694350000005,276.20803343055564,277.69167279166675,276.83524468055555,280.2432631805556,281.2403552777778,281.0235284861111,278.63363209722223,280.2617394444444,279.20383602777775,277.2394266944444,275.5875130833335
2020-12-27,278.90515656944444,279.3067163333333,277.80171308333337,276.1922256527779,277.7074553055556,276.8657496944444,280.3004100416667,281.303240625,280.9843104583333,278.65732236111114,280.2688628611111,279.21117969444447,277.29095229166654,275.58424745833344
2020-12-28,279.02734075,279.43283299999996,277.91050168055557,276.2863801666668,277.8555306944445,277.0235854583333,280.4026005833333,281.3456772916667,281.0580165972222,278.77783827777785,280.4012091666666,279.29044163888886,277.40950281944436,275.6479039027779
2020-12-29,279.1844605416667,279.6559654027777,278.1148279861111,276.4885230972223,278.03753751388894,277.2362912222222,280.62162123611114,281.4654061805556,281.25642355555556,278.94765706944446,280.65092520833326,279.4344719861111,277.5873055277777,275.7726270833335
2020-12-30,279.44975509722224,279.96911398611104,278.47619238888893,276.84428276388894,278.3461226111112,277.5569940972221,280.8755639583333,281.6205356666667,281.5088957777778,279.21962223611115,280.9564085972222,279.6414311944444,277.8565925416666,275.96084156944454
2020-12-31,279.5806242638889,280.17873995833327,278.77146883333336,277.1661869722223,278.54736708333337,277.7703491666667,281.0241267361111,281.6818339305555,281.7109908055555,279.4128694444445,281.15443019444444,279.81268041666664,278.07377061111106,276.1502527777779
2021-01-01,279.6042680138889,280.23312994444433,278.9372164722223,277.3366609444445,278.631117,277.8460668194444,281.0365547083333,281.62429687499997,281.75912662499996,279.4129154166667,281.18682623611113,279.8491473194444,278.1176011249999,276.268421638889
2021-01-02,279.49211031944446,280.0712010833332,278.86268011111116,277.2948335277778,278.5542379861111,277.763012,280.8436107361111,281.4116182083333,281.5614324305555,279.1476204861112,280.96440076388893,279.615401625,277.89142959722216,276.1471448194445
2021-01-03,279.40611526388886,279.86511056944437,278.6758089305556,277.17383933333343,278.44534301388893,277.64730127777773,280.68278352777776,281.32979469444433,281.2696948472222,278.8031480277778,280.67029833333333,279.28567912499994,277.5773335555555,275.90753880555565
2021-01-04,279.3601102361111,279.73624118055545,278.50398713888893,277.07585486111117,278.3633113472223,277.5732112777777,280.62888463888885,281.2787999444444,281.06818506944444,278.53573569444444,280.54096405555555,278.9684645694444,277.3402602222222,275.67484295833344
2021-01-05,279.30211773611114,279.65152433333327,278.50555286111114,277.11493651388895,278.32816315277785,277.5723650972222,280.49563677777775,281.11696597222215,280.9166746527778,278.3684726666668,280.40186266666666,278.77218515277775,277.2658485416666,275.6293887638889
2021-01-06,279.3537324583333,279.68972661111104,278.5978231666667,277.19507463888897,278.4037497083334,277.65387636111103,280.4555080833333,281.01770966666663,280.82225715277775,278.3488448750001,280.396580875,278.6319767361111,277.3148464305555,275.6310268750001
2021-01-07,279.43705911111107,279.7787228333333,278.70123363888894,277.28259858333337,278.5537442916667,277.80887745833326,280.5027372083333,280.9889584027777,280.8567566944444,278.36123176388895,280.48007479166665,278.5675148472222,277.3431047916666,275.5799938055556
